market_id,iso_code
1,AF
2,AX
3,AL
4,DZ
5,AS
6,AD
7,AO
8,AI
9,AQ
10,AG
11,AR
12,AM
13,AW
14,AU
15,AT
16,AZ
17,BS
18,BH
19,BD
20,BB
21,BY
22,BE
23,BZ
24,BJ
25,BM
26,BT
27,BO
28,BQ
29,BA
30,BW
31,BV
32,BR
33,IO
34,BN
35,BG
36,BF
37,BI
38,CV
39,KH
40,CM
41,CA
42,KY
43,CF
44,TD
45,CL
46,CN
47,CX
48,CC
49,CO
50,KM
51,CG
52,CD
53,CK
54,CR
55,CI
56,HR
57,CU
58,CW
59,CY
60,CZ
61,DK
62,DJ
63,DM
64,DO
65,EC
66,EG
67,SV
68,GQ
69,ER
70,EE
71,SZ
72,ET
73,FK
74,FO
75,FJ
76,FI
77,FR
78,GF
79,PF
80,TF
81,GA
82,GM
83,GE
84,DE
85,GH
86,GI
87,GR
88,GL
89,GD
90,GP
91,GU
92,GT
93,GG
94,GN
95,GW
96,GY
97,HT
98,HM
99,VA
100,HN
101,HK
102,HU
103,IS
104,IN
105,ID
106,IR
107,IQ
108,IE
109,IM
110,IL
111,IT
112,JM
113,JP
114,JE
115,JO
116,KZ
117,KE
118,KI
119,KP
120,KR
121,KW
122,KG
123,LA
124,LV
125,LB
126,LS
127,LR
128,LY
129,LI
130,LT
131,LU
132,MO
133,MK
134,MG
135,MW
136,MY
137,MV
138,ML
139,MT
140,MH
141,MQ
142,MR
143,MU
144,YT
145,MX
146,FM
147,MD
148,MC
149,MN
150,ME
151,MS
152,MA
153,MZ
154,MM
155,NA
156,NR
157,NP
158,NL
159,NC
160,NZ
161,NI
162,NE
163,NG
164,NU
165,NF
166,MP
167,NO
168,OM
169,PK
170,PW
171,PS
172,PA
173,PG
174,PY
175,PE
176,PH
177,PN
178,PL
179,PT
180,PR
181,QA
182,RE
183,RO
184,RU
185,RW
186,BL
187,SH
188,KN
189,LC
190,MF
191,PM
192,VC
193,WS
194,SM
195,ST
196,SA
197,SN
198,RS
199,SC
200,SL
201,SG
202,SX
203,SK
204,SI
205,SB
206,SO
207,ZA
208,GS
209,SS
210,ES
211,LK
212,SD
213,SR
214,SJ
215,SE
216,CH
217,SY
218,TW
219,TJ
220,TZ
221,TH
222,TL
223,TG
224,TK
225,TO
226,TT
227,TN
228,TR
229,TM
230,TC
231,TV
232,UG
233,UA
234,AE
235,GB
236,US
237,UM
238,UY
239,UZ
240,VU
241,VE
242,VN
243,VG
244,VI
245,WF
246,EH
247,YE
248,ZM
249,ZW
